127.0.0.1 - - [31/Aug/2022:10:10:22 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:30:57 +0900] "GET /day02/form.html HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:30:57 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:38:48 +0900] "GET /day02/form.html HTTP/1.1" 200 2940
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:38:48 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:48:48 +0900] "GET /day02/formTask.html HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:49:42 +0900] "GET /day02/formTask.html HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:50:29 +0900] "GET /day02/formTask.html HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:51:43 +0900] "GET /day02/formTask.html HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [31/Aug/2022:11:14:37 +0900] "GET /day02/formTask.html HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [31/Aug/2022:11:15:08 +0900] "GET /day02/formTask.html HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [31/Aug/2022:11:18:53 +0900] "GET /day02/formTask.html HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [31/Aug/2022:11:21:55 +0900] "GET /day02/formTask.html HTTP/1.1" 200 1362
0:0:0:0:0:0:0:1 - - [31/Aug/2022:11:22:14 +0900] "GET /day02/formTask.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2022:11:23:47 +0900] "GET /day02/formTask.html HTTP/1.1" 200 1366
0:0:0:0:0:0:0:1 - - [31/Aug/2022:11:25:26 +0900] "GET /day02/formTask.html HTTP/1.1" 200 1402
0:0:0:0:0:0:0:1 - - [31/Aug/2022:11:25:26 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [31/Aug/2022:11:27:15 +0900] "GET /day02/formTask.html HTTP/1.1" 200 1679
0:0:0:0:0:0:0:1 - - [31/Aug/2022:11:27:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [31/Aug/2022:11:33:36 +0900] "GET /day02/formTask.html HTTP/1.1" 200 2196
0:0:0:0:0:0:0:1 - - [31/Aug/2022:11:34:03 +0900] "GET /day02/formTask.html HTTP/1.1" 200 2196
0:0:0:0:0:0:0:1 - - [31/Aug/2022:11:34:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [31/Aug/2022:11:34:38 +0900] "GET /day02/formTask.html HTTP/1.1" 200 2220
0:0:0:0:0:0:0:1 - - [31/Aug/2022:11:34:49 +0900] "GET /day02/formTask.html HTTP/1.1" 200 2207
0:0:0:0:0:0:0:1 - - [31/Aug/2022:11:36:56 +0900] "GET /day02/formTask.html HTTP/1.1" 200 2410
0:0:0:0:0:0:0:1 - - [31/Aug/2022:11:37:55 +0900] "GET /day02/formTask.html HTTP/1.1" 200 2446
0:0:0:0:0:0:0:1 - - [31/Aug/2022:11:38:20 +0900] "GET /day02/formTask.html HTTP/1.1" 200 2457
0:0:0:0:0:0:0:1 - - [31/Aug/2022:11:38:43 +0900] "GET /day02/formTask.html HTTP/1.1" 200 2468
